[00:00:00] 那我們就開始今天課程
[00:02:50] 其實兩年半其實沒有很久
[00:02:51] 其實沒有很久
[00:02:52] 不到三年而且
[00:02:54] 當初出來的那個GPT是
[00:02:56] 輸出品質不是很好
[00:02:58] 很笨
[00:02:59] 可是各位看到這兩年來
[00:03:01] 這不到三年的
[00:03:02] 各方面生成式的那個進展
[00:03:05] 相信大家都看過了
[00:03:07] 其實還蠻恐怖的
[00:03:09] 對所以我們就是在
[00:03:10] 這個浪潮之下我想說
[00:03:12] 大家可以去試試看
[00:03:13] 可以去玩玩看的
[00:03:15] 那這個就是有一張圖
[00:03:17] 就是可以看到現在AI的服務太多
[00:03:20] 真的太多
[00:03:22] 而且每天可能就是
[00:03:23] 最近都是
[00:03:24] 它的更新的速度不是用
[00:03:27] 什麼季啊或月不是
[00:03:29] 現在幾乎都是每週或者是甚至每天
[00:03:32] 都會update 其實蠻可怕的
[00:03:35] 好
[00:03:37] 那我們為什麼要使用這個GAI
[00:03:38] 其實有一件事情
[00:03:40] 老師他有讓你比較提早下班嗎
[00:03:43] 有嗎我個人使用坦白說是沒有
[00:03:47] 其實並沒有
[00:03:48] 但是它的好處是
[00:03:51] 我我我個人的經驗是
[00:03:52] 我時候站起來不要在意它
[00:03:54] 那我個人經驗是像我現在會去設計一個
[00:03:57] 其實老師們有興趣的話可以大家可以設計
[00:04:00] 你的工作流程中
[00:04:02] 去想一下有什麼是可以讓
[00:04:04] 節省你的工作時間
[00:04:06] 例如說在做應該導師對不對
[00:04:09] 我是導師然後我
[00:04:11] 我自己的每一堂國語課
[00:04:13] 就是應該說每一次的國語課
[00:04:16] 我都會有預習單
[00:04:18] 那預習單以前沒有AI的時代
[00:04:20] 我可能就需要
[00:04:22] 設計一張預習單可能會
[00:04:23] 花了時間可能約莫快要
[00:04:25] 40分鐘到一小時
[00:04:28] 那我現在把它做成機器人
[00:04:30] 就是一個其實這個大家都可以做
[00:04:32] 今天有機會我也想讓大家去試試看
[00:04:35] 因為把它用機器人做好之後
[00:04:36] 我現在生產一張預習單的時間
[00:04:39] 大概縮到15分鐘
[00:04:41] 而且品質比我
[00:04:42] 用工人智慧
[00:04:44] 就是用人類的大腦生成的還要好
[00:04:48] 對品質是很好的然後時間要縮短
[00:04:51] 其實對那可是很奇怪的事情你會發現
[00:04:54] 我的時間好像看起來有工時縮短了對不對
[00:04:57] 那實際上因為你會有很時間
[00:05:00] 會再做
[00:05:01] 你會希望把事情做得更好
[00:05:03] 如果老師們如果你有常用AI的話
[00:05:06] 你會希望把事情做得更好
[00:05:07] 所以有時候反而時間我就覺得沒有省到哪裡去
[00:05:12] 可是你的東西的品質是好的
[00:05:14] 有人說那個是AI出現每個人起跳都是80分
[00:05:20] 為什麼這樣講我
[00:05:21] 我班上女生啦一個小女孩
[00:05:23] 他很會畫圖
[00:05:25] 他是那種繪畫比賽的常勝軍
[00:05:27] 畫圖去在美展什麼都會得獎
[00:05:30] 那有一次上課的時候
[00:05:32] 三年級的時候
[00:05:34] 我教他們用AI去生圖去算圖
[00:05:38] 他畫完之後他開始流眼淚
[00:05:41] 為什麼因為
[00:05:42] 他是很會畫圖的人
[00:05:44] 就是他是水彩畫得很厲害
[00:05:48] 但是他AI生圖這件事
[00:05:50] 這件事發生之後
[00:05:52] 他看到同學不會畫圖的人
[00:05:54] 產出的圖跟他其實差不多的
[00:05:56] 品質是不會差太多
[00:05:58] 他其實是他自己
[00:05:59] 就小小年紀三年級就有危機意識
[00:06:02] 就是覺得
[00:06:02] 我學了那麼久的話
[00:06:04] 我畫的還真的不錯
[00:06:05] 就現在AI出來之後
[00:06:07] 我的同學瞬間就跟我那個什麼那個水平就拉起
[00:06:12] 所以他其實有很好玩 三年級的孩子有危機意識他就開始
[00:06:16] 就流眼淚說老師怎麼辦怎麼那個大家都好像對啊
[00:06:22] 那個沒有不會畫畫的人現在產出來的圖跟我差不多
[00:06:26] 對他其實是有擔心
[00:06:28] 就是在有AI的年代大家都拉到80分起跳了
[00:06:32] 那只是說你要怎麼從80分
[00:06:34] 要進到90分95分
[00:06:36] 那還是需要花時間的
[00:06:39] 再來好這個是
[00:06:40] 老師們可以看一個這個算新制度
[00:06:45] 這是用Napkin畫 有老師用過Napkin嗎
[00:06:50] 還是很客氣不敢不好意思
[00:06:52] 等下讓它用看這個
[00:06:53] 老師你畫做教案做報告做什麼計劃沒有
[00:06:58] 你要生心智圖這個超好用等下介紹給大家
[00:07:01] 這個我覺得現在就是教你只要把一些
[00:07:04] 比如說一篇文章的大綱
[00:07:06] 丟給他或者是
[00:07:08] 你要呈現的內容丟給Napkin
[00:07:11] 他就會幫你生成這樣子
[00:07:13] AI就幫你整理好了而且
[00:07:15] 它的圖都很漂亮
[00:07:17] 大家等下可以玩玩看
[00:07:19] 這個是用Napkin這個AI去做的
[00:07:21] 好那老師們我就稍微啦
[00:07:24] 這個教學整個流程
[00:07:28] 大概這個大概大概可以拆成這些東西
[00:07:32] 大概就拆成這些東西我們整體歷程大概就不外乎這些
[00:07:36] 少一個少一個就是課前學生預習
[00:07:39] 這個我沒有我沒有把它加進去
[00:07:41] 但是主要是課前老師的準備還有然後課間課後
[00:07:46] 或是課後老師怎麼去做回饋啊
[00:07:49] 甚至做批改做
[00:07:50] 對像這樣的東西
[00:07:52] 這大概是我們日常教學日常就是會用到這些東西
[00:07:57] 那等一下我的簡報裡面會跟大家分享
[00:08:00] 我在每一堂課在做在做這樣實踐的時候
[00:08:04] 我會在哪個地方塞什麼樣的AI工具
[00:08:08] 當然不是所有都塞啦就是會看狀況
[00:08:11] 我會把
[00:08:12] 這個簡報今天的簡報我還沒有
[00:08:14] 放到classroom
[00:08:16] 我稍晚整理完我放上去
[00:08:18] 好就是會把試用的AI工具放那個圖啊放上去
[00:08:23] 大家可以比較清楚說原來這一節課
[00:08:26] 在某個流程上適合用哪個AI去幫我的忙
[00:08:30] 大家可以去可以去等下會看到這個圖啦
[00:08:33] 我解釋這個圖是有意義的
[00:08:34] 就是說在我的教學歷程中
[00:08:37] 或這個課程的設計中
[00:08:39] AI它所佔的角色
[00:08:42] 或它在哪個流程中它扮演什麼樣的這個工具扮演什麼樣的角色
[00:08:46] 我覺得是需要讓大家知道
[00:08:49] 那像這個的話
[00:08:51] 這張圖還是一樣它只是要讓大家看
[00:08:55] 其實等下就是會每一節每一個我課程設計上面
[00:09:00] 我就會塞那個
[00:09:01] 那個icon讓大家知道說
[00:09:03] 大概什麼時機可以用什麼樣的AI
[00:09:08] 好那 我稍微講一下那個平台了我們會用的
[00:09:13] 這個叫做Magic School跟EDU Cafe這個是一站式的
[00:09:21] 有老師用過嗎
[00:09:23] 這個一站式的意思就是說它裡面什麼都有
[00:09:27] 我應該登跟登給大家看
[00:09:29] 這個Magic School大家如果老師你現在有空
[00:09:32] 如果你有登錄Google的話就可以直接用了
[00:09:34] 為什麼因為現在很多的服務都是
[00:09:37] 你Google只要是登錄的狀態
[00:09:38] 你就直接就可以登進去
[00:09:40] 好老師你可以看到那個classroom裡面
[00:09:43] 老師你可以玩玩看你可以跟著我一起做做看
[00:09:46] 你今天不用你不用去使用但就看一下有feel這樣
[00:09:51] 好我現在把它拉老師你看最下面有一個通用型
[00:09:54] 我把它放大一點通用型教育領域的AI平台
[00:09:57] 我現在舉Magic School為例老師你點下去打開
[00:10:02] 這是一個英文的對不對
[00:10:04] 它可以變中文的
[00:10:06] 那你點什麼老師你點sign up for free或是login都可以
[00:10:11] 因為現在都是Google認證
[00:10:14] 因為我已經登錄了
[00:10:16] 那老師如果你是第一次使用它可能就會有一些流程
[00:10:20] 可是還好就是稍微就點幾下就過去了
[00:10:25] 老師如果你有興趣可以去看一下這裡有非常多的功能
[00:10:28] 就是跟教學相關的
[00:10:31] 所以我稱他為一站式的
[00:10:33] 什麼都有啦
[00:10:35] 什麼歌曲生成器啊還有什麼寫作的反饋啊
[00:10:42] 那你老師你看右上你如果是英文
[00:10:45] 右上角這邊有一個
[00:10:47] 老師你可以點這個文
[00:10:49] 有看到嗎我再做一次這邊
[00:10:52] 右上角這邊點一下你往下拉
[00:10:55] 老師不要選普通話
[00:10:57] 因為普通話叫做Mandarin是它會出現簡中
[00:11:02] 你可以選廣東話
[00:11:03] 我現在是選廣東話最下面那個廣東話就會是繁體的
[00:11:08] 那它就會整個界面就變成中文
[00:11:13] 界面老師可以去看一下下
[00:11:17] 那上面它就有很多很多的工具
[00:11:20] 但是坦白說呢這個工具呢我很少用
[00:11:24] 因為它會它其實如果是
[00:11:27] 老師您對AI比較沒有可能沒有玩太多的話其實直接來用是可以
[00:11:32] 但是如果老師您本身對AI
[00:11:34] 你很會下提示詞很會下prompt
[00:11:37] 的話其實就不用用這個啦
[00:11:39] 你自己就可以在ChatGPT
[00:11:42] 就可以做掉或Gemini
[00:11:43] Google的Gemini就可以做到很多事情
[00:11:46] 這個是給老師看一下老師回去有空可以去玩玩看
[00:11:50] 那而且因為它是外國的國外設計的
[00:11:53] 所以有時候用起來你會覺得好像不是
[00:11:56] 跟我們的local不是那麼的內容
[00:12:00] 可能產出的內容跟我們local
[00:12:02] 沒有辦法那麼適用那麼match
[00:12:06] 坦白說
[00:12:07] 但是它是一站式的老師可以玩玩看
[00:12:12] 好那老師我就再回到剛剛簡報的地方
[00:12:15] 那另外一個EDcafe呢老師就回家試試看
[00:12:18] 這個也是這個好像有一定的點數然後你點數用完
[00:12:22] 我記得好像是還是
[00:12:25] 不過這個好像比較這個比較輕
[00:12:28] 比較符合我們的中文環境使用
[00:12:33] 那老師剛才有稍微看過這叫一站式的
[00:12:36] 就是裡面什麼都有對不對
[00:12:37] 還可以教你什麼寫什麼課程計劃寫什麼寫什麼很多
[00:12:42] 那接下來還有什麼就是
[00:12:44] 老師們知道教科書已經有這個平台了
[00:12:47] 有看過嗎
[00:12:48] 可能有老師有看過對不對康軒翰他們現在都有建了
[00:12:52] 那因為呢
[00:12:52] 但是這三家建好的時間
[00:12:55] 約莫都在大概四月五月的時候
[00:13:00] 那所以我發現他就是還慢慢在在做得更好更成熟
[00:13:05] 因為之前有很多還是不太能用或者是會有一些狀況
[00:13:09] 但是我相信會越做越好就是康軒翰其實都有那個生成式的平台
[00:13:16] 裡面有很多的工具那當然他有些工具會幫他自己教科書的內容
[00:13:21] 比如說你今天要生成一份教案或一份測驗卷
[00:13:25] 那就會需要用到
[00:13:27] 比如說假設你是假如你老師您的是康軒版本的
[00:13:31] 那他生成的內容就會根據康軒的教材內容
[00:13:35] 就不會是根據其他的啦
[00:13:36] 這個當然是會綁他們家的教科書這很正常
[00:13:41] 老師可以去玩玩看還
[00:13:42] 蠻蠻好玩的還蠻多可以工具可以用用看
[00:13:45] 甚至那個如果老師您是國小班導一定要改作文對不對
[00:13:51] 他也可以改作文我試過
[00:13:53] 但是前提是那個作文的小朋友的字不能太鬼畫符
[00:13:58] 太鬼畫符他認不得他沒辦法認得
[00:14:02] 就是你把它拍照或者是掃描之後的檔案啊丟給他改我試過是可以的
[00:14:07] 但小朋友的字不能太太太糟糕這樣子
[00:14:11] 就是他們我記得是康軒跟翰林
[00:14:15] 他們兩個南一不知道我忘記他有沒有做了
[00:14:17] 就是康跟翰是有做改作文的
[00:14:21] 老師可以去玩玩看
[00:14:23] 好那這個是教科書建制的
[00:14:25] 那教科書建制的話就會它的方向就會普遍比較落在是比如說貝克
[00:14:30] 教材準備或者是批改作文這一類
[00:14:35] 但比較少是讓學生去跟AI互動
[00:14:39] 這個也是喔
[00:14:41] 對不起我剛剛沒講到一站式也是
[00:14:42] 主要是讓老師用
[00:14:45] 那這個呢也是給老師用的
[00:14:47] 也是給老師用的
[00:14:49] 好那接下來這個是各式各樣的平台
[00:14:53] 那其實我現在我的模式因為我會讓學生用AI
[00:14:58] 然後我會讓學生去嘗試使用
[00:15:02] 所以會比較有點老師會比較辛苦啦
[00:15:05] 如果有興趣要帶學生做的話
[00:15:08] 你可能要去多玩一下
[00:15:10] 你才知道說今天這樣的工具是不是是不是合用到我今天的課程
[00:15:16] 例如像今天那個鈔票啊
[00:15:18] 鈔票的課程目前生鈔票生得最好最好最好的其實是ChatGPT
[00:15:23] 對ChatGPT畫出來的鈔票是最好的
[00:15:26] 那其他的平台你說那個什麼Gemini Google的AI Studio或者是
[00:15:33] 這些的平台它畫出來的鈔票
[00:15:37] 甚至那個什麼大家知道可以畫圖對不對
[00:15:41] 生出來的我覺得品質都還是沒有那個那個ChatGPT來得好
[00:15:47] 等下大家可以看
[00:15:48] 所以就變成說坦白說有時候會有點辛苦就是你要去試試看哪個平台
[00:15:53] 可能做哪件事適合
[00:15:56] 比較適合這樣子
[00:15:58] 所以這邊是比較是通用型的它不是什麼一站式的也不是專門為了教育準備
[00:16:05] 但是它就是自由度是最高的
[00:16:09] 那還有一個就是
[00:16:13] 老師沒有聽過因才網對不對他有用嗎
[00:16:17] 因才網是裡面有度那個機器人
[00:16:20] 那度我也很我會讓學用
[00:16:23] 就後來學生自己跑來跟我說老師我不要用度
[00:16:26] 他要回去用
[00:16:28] GPT或者是對其他的AI的平台
[00:16:30] 我說OK你自己選擇
[00:16:33] 因為我們有去申請那個聯發科
[00:16:35] 聯發科有一個他們自己的AI的平台
[00:16:38] 他之後應該有機會大家可以去申請
[00:16:41] 他就是給你假設你媽多少看你媽多少人他就給你多少賬號
[00:16:47] 他就是聯發科外皮包著聯發科的ChatGPT其實裡面是ChatGPT
[00:16:54] 那個賬號是可以去申請是免費的
[00:16:57] 他一次申請是大概是半年
[00:17:00] 大家如果有興趣可以去
[00:17:01] 但是這個東西變成
[00:17:03] 這些平台就要看你個人自己
[00:17:07] 使用就是看有時候要切換到誰
[00:17:09] 像伊度當然大家知道他有時候可能會有一些狀況還有時候可能對
[00:17:15] 所以學生其實沒有很愛用
[00:17:17] 大家有看到目前有一些AI的功能
[00:17:21] 也是AI的功能
[00:17:23] 那這個大家都有教育版
[00:17:27] 因為今天有些事情我們用來做
[00:17:31] 好喔
[00:17:32] 來
[00:17:33] 就是
[00:17:34] 那但是是我今天不會講很detail怎麼下prompt
[00:17:38] 怎麼下提示詞
[00:17:41] 就是今天其實現在的AI我發現他比以前聰明
[00:17:46] 所以你即便下的prompt不是那麼的完整
[00:17:49] 他生成的內容都還還是不錯的
[00:17:52] 當然老師如果您在prompt這個提示詞有下點功夫的話產出的品質會非常好
[00:17:58] OK那如果沒有的話沒關係
[00:18:00] 就是老師們至少因為就是自然語言就是自然語言
[00:18:04] 好那我講一下這個的設計
[00:18:06] 當然這個就大家可能都有聽過我就稍微複習一下
[00:18:11] 比如你今天要叫他做某件事你就跟他說你是你是什麼你是個城市設計師
[00:18:16] 你是一個國文老師你是一個什麼諸如此類的
[00:18:20] 角色的就是這種角色人設的設定
[00:18:24] 然後第二個是最好的方式是你可以提供範例或知識文件
[00:18:29] 比如說你今天要改一篇作文啊
[00:18:32] 你不要丟一篇作文給他說你幫我改作文
[00:18:35] 然後分數是70分到90分之間或70分到95分之間
[00:18:39] 這樣太龍統了
[00:18:41] 你如果可以的話就是我就會建議你用什麼
[00:18:45] 你就可以給他你的評分標準
[00:18:47] 今天像我之前有試過
[00:18:48] 把那個國中會考的作文的那個
[00:18:50] 評分標準有沒有
[00:18:52] 幾級分幾級分那個就丟給他
[00:18:54] 然後讓他去試著改作文他改得不錯
[00:18:57] 就是你給他一個標準有個依循他可以做得很好
[00:19:02] 就是不要比較不要是說什麼都不告訴他就叫他去評分叫他去對
[00:19:07] 或者是你今天要請他規劃像我有做一個機器人是沖繩旅遊達人
[00:19:15] 他就會去幫你規劃
[00:19:17] 你可以跟他說我要五天四夜的這個沖繩旅遊那他他就幫你規劃的很好
[00:19:22] 你只要給他一些知識的文件
[00:19:25] 比如說什麼對啊就是相關沖繩旅遊一些旅遊檔案啊之類的
[00:19:33] 那輸出格式第三個輸出格式要很明確
[00:19:37] 你可以跟他你就是可以舉例啦
[00:19:39] 我要怎麼樣呈現我要條列式的我要我要用表格
[00:19:44] 你幫我整理成表格
[00:19:46] 就是你跟他講的很明確它輸出的就會按照老師您的需求去做輸出
[00:19:53] 第四個就是我說的那個很煩了
[00:19:55] 工具上的限制因為有每個工具產出其實的那個在某些任務上會不一樣
[00:20:04] 在某些任務上
[00:20:05] 在座有資訊組長或電腦老師
[00:20:11] 如果老師如果你有寫程式的話
[00:20:14] 寫程式這件事就不是適合用不是不適合
[00:20:17] ChatGPT可以寫但是寫的不是那麼好
[00:20:20] 我們就用另外一個叫Claude Claude等下會讓大家看一下Claude
[00:20:25] 他其實也是一個那個生是AI
[00:20:29] 我們就用Claude去寫
[00:20:31] 那或許會我們有時候會看目的啦看目的
[00:20:36] 那第五個最有趣的就是不要學太細或者是執著在某個工具上非他不可
[00:20:43] 為什麼
[00:20:44] 因為你要隨時跳船
[00:20:46] 像之前我們廣達這邊開那個我們之前開一個是畫畫春聯的一個課程
[00:20:52] 之前就是讓我等下會看到
[00:20:54] 一個畫春聯的一個設計春聯的課程
[00:20:58] 然後呢畫圖的那個平台後來不見了就是face out就是消失了
[00:21:07] 所以還蠻慘的也不是蠻慘就是你要隨時要跳船
[00:21:09] 因為因為AI現在就是很多啦雨後春筍
[00:21:14] 但是很多它可能出來
[00:21:15] 撐不了多久
[00:21:16] 可能資金燒完或是怎樣
[00:21:19] 它就它就它就下架
[00:21:21] 所以還蠻多的喔
[00:21:22] 但是他們的概念大致上都一致
[00:21:25] 老師如果你要用AI生圖那AI生圖的原則就大概就那些
[00:21:29] 你到每個平台大致上都適用
[00:21:33] 好因為基本工具介紹老師看一下
[00:21:36] ChatGPT這個大家都知道
[00:21:38] 應該都有用過有沒有老師用付費版
[00:21:42] 有
[00:21:44] 哇謝謝
[00:21:44] 還有沒有
[00:21:46] 付費
[00:21:49] 對對對
[00:21:50] 好老師我跟你建議不要買
[00:21:54] 為什麼你知道嗎
[00:21:56] 買了就回不去
[00:21:58] 對你就要付那個月租費電話月租費你就回不去了
[00:22:02] 老師用過老師你是有付費的嗎
[00:22:06] 學校買啊
[00:22:08] 哦你學校這麼好這麼大家喝好
[00:22:11] 老師有用過就會知道其實免費版付費免費跟付費輸出品質是有差
[00:22:17] 真的有差包括畫圖
[00:22:19] 之前不是在瘋那個什麼吉普力嗎
[00:22:21] 他們那個吉普力畫畫
[00:22:22] 那個畫一張它就不讓你畫
[00:22:24] 或者是產出很慢
[00:22:25] 可是你是付費版的
[00:22:27] 秀秀秀就是可以一直對
[00:22:28] 而且沒有張數的限制
[00:22:32] 而且如果老師用的是免費版的GBT的話你可以選的模型是很有限的
[00:22:38] 但是付費版的話我讓大家看一下就是
[00:22:41] 老師們可以看一下這邊我的模型就很多種
[00:22:46] 這邊有非常多種模型可以用
[00:22:48] 這當然是付費版
[00:22:50] 然後它是一個月是2020塊美金
[00:22:57] 20塊美金
[00:22:59] 對然後最近我做了一件事
[00:23:02] 做什麼事我就跟他說我要退訂
[00:23:05] 大家知道這什麼嗎我跟他退訂
[00:23:08] 就他跟我說什麼知道
[00:23:10] 你不要走了我給你三個月半價
[00:23:14] 所以現在一個月10塊美金三個月
[00:23:17] 是你就要趕快去按說我要退訂
[00:23:19] 他就會跳出來說你不要走了繼續用啦
[00:23:22] 然後三個月每個月10塊錢
[00:23:26] 你下個月就可以這樣做
[00:23:28] 認真的因為我這這件事是發生在上因為我看到我的朋友臉書
[00:23:32] 為什麼他們只有用半價就可以訂閱原來是用這一招
[00:23:36] 你就跟他說不行了我要退訂了我我不要用你了我要離開你了
[00:23:40] 結果他就會跟你說啊好了不要走了
[00:23:43] 然後三至少目前三個月是半價
[00:23:47] 這是合法了這
[00:23:49] 就是好合法一個大家如果假如你有你有用那個付費版的GT
[00:23:55] 那付費版GT就是他能做的事情就很多而且會更
[00:23:59] 更複雜這樣子
[00:24:02] 那抱歉我再切回我的簡報
[00:24:06] 那GT老師你們現在沒有你現在是不用登錄也是可以用
[00:24:12] 但是如果你登錄的話是可以比如說你要生圖的話還是要登錄
[00:24:16] 然後如果您的那個對話記錄要要記下來的話也是要登錄但理論上它是可以不用登錄去做使用
[00:24:24] 好那再來這個是Cloud就是我剛剛講
[00:24:27] 老師沒有空可以去試
[00:24:28] 它比較它功能其實某些方面來說沒有GVT那麼強大
[00:24:34] 但它的文字輸出是很棒的
[00:24:39] 如果老師你有在寫那個碩論博士論文你可以用它
[00:24:43] 它做的很好它做的還蠻不錯的
[00:24:46] Cloud Cloud
[00:24:49] 然後呢大家有聽過這個嗎
[00:24:50] perplexity
[00:24:53] 好這個是什麼這個叫做AI搜尋引擎
[00:24:57] 好那老師請看一下
[00:24:58] 我們一起來做一次好了
[00:25:00] 我們你你看了就有感覺
[00:25:03] 我們點一下這個classroom快classroom去
[00:25:07] 好老師已經看一下在classroom這邊
[00:25:12] 那個有一個AI搜尋引擎對不對這邊
[00:25:17] 第一個perplexity這個
[00:25:21] 好這個打開好
[00:25:22] 那perplexity它就是一個AI搜尋引擎
[00:25:26] 那它的老師就可以直接去收用自然語言搜尋
[00:25:31] 我們過去用Google是不是用很也有時候會用一些關鍵字去組合然後去收對不對
[00:25:36] 然後還研究怎麼組合那個關鍵字有時候還用什麼加號用什麼
[00:25:40] 然後這個不用你完全用自然語言去搜尋
[00:25:44] 那我們過去用Google搜尋它是不是會出現一個一個的超連結對不對
[00:25:49] 很多網站
[00:25:51] 它不是它就是直接幫你做同整好了
[00:25:53] 就是告訴你答案就對了所以有的人給他一個名字我覺得蠻不錯
[00:25:58] 它叫做問答引擎
[00:26:00] 它不是搜尋引擎
[00:26:01] 比如說我就跟他請他去收我好了
[00:26:04] 請問
[00:26:06] 新北市的曾俊夫老師是誰這樣子
[00:26:18] 他就老師你可以完全自然語言完全自然語言去搜尋
[00:26:23] 然後他就會幫你他就會幫你找出來而且是幫你匯整好
[00:26:28] 就像你老師你現在用Google搜尋是不是有類似的東西現在Google搜尋是不是會出現什麼AI在藥對不對
[00:26:33] 上面對就是很像
[00:26:35] 因為這是AI在是後來才出現
[00:26:37] 那這個perplexity是它一直就是這樣而且它的還不錯啦我覺得還不錯
[00:26:44] 當然我的資料這邊是因為我之前是在基稅國小
[00:26:46] 因為我調校
[00:26:48] 所以他查到的是因為大部分網路上查到我的文章是我之前學習服務的學校
[00:26:55] 然後這個就是perplexity這個也推薦大家可以用用看它其實還蠻方便的
[00:27:00] 而且它會有什麼老師你看這個搜尋引擎長出來之後老師請看一下它後面是有個小小的數字有沒有
[00:27:09] 那個就很像那個什麼reference
[00:27:11] 就是那種參考就是證實我不是亂講話我是有所本的
[00:27:16] 有沒有這邊後面這個數字
[00:27:18] 後面那個數字就會告訴就是來源
[00:27:22] 就是老師如果你拿滑鼠放上去看老師你收什麼啦看你也可以收自己的名字
[00:27:27] 那這個他就會出現什麼所謂的這個叫什麼就是他他的來源是什麼他這邊呈現的文章對
[00:27:38] OK
[00:27:39] 好這個讓大家玩一下這個其實還不錯
[00:27:43] 而且正確性越來越高
[00:27:46] 過去他的正確性其實我我個人覺得有點比較比較辣差一點
[00:27:51] 但現在已經越來越好了
[00:27:53] 已經越來越好
[00:27:54] 所以老師們可以去玩玩看這個perplexity
[00:27:57] 這是AI的搜尋引擎
[00:28:00] 我稱他為我也稱他為問答引擎
[00:28:02] 因為它就是非常的自然語言你不用像Google我們就會研究很多關鍵字怎麼去問嘛對不對
[00:28:08] 它就不用你就用你用你的想法最直覺的文字去問這樣
[00:28:16] 那再來那Google的
[00:28:18] 應該有有夥伴用過了
[00:28:20] 就是跟GBT就很類似的東西只是是Google牌的
[00:28:25] Google牌的好
[00:28:27] 這個我們今天等下會用到所以我先暫時讓我跳過去
[00:28:30] 好那這個是
[00:28:32] 老師可能有沒有老師用過這個AI Studio Google
[00:28:36] 如果老師你用過
[00:28:39] 你把它想像成是一個比較輕量級版本的AI
[00:28:45] 那如果你要玩比較詳細的話
[00:28:47] 在我們今天也會讓大家去使用
[00:28:50] 叫做Google AI Studio
[00:28:53] 它是另外一個網站但是還是Google那他可以做的事情就更多
[00:28:58] 他也可以畫圖然後他可以生影片
[00:29:02] 他可以對他可以做的事情是更多的
[00:29:03] 所以這個今天會玩到
[00:29:07] 但基本上他跟Google的是
[00:29:11] 就是對細出同仁嘛都是Google的對
[00:29:14] 只是你用平常聽到那個是比較輕量級
[00:29:17] 這個是比較完整版的
[00:29:22] 那這個grok是什麼grok是它非常棒
[00:29:26] 它可以產出一些有的沒有的
[00:29:29] 完全因為現在那個生成是大家你叫他去畫圖你叫他去產生
[00:29:34] 那什麼有爭議的一些圖
[00:29:37] 一般他會他會幫你畫
[00:29:40] 大家知道這件事嗎
[00:29:41] 他會自我審查
[00:29:43] 他如果他覺得他這畫出來的話有暴力色情或者是對就是血腥
