Skill名稱,功能分類,路徑,功能描述
android-cli,Firebase與行動端開發,/Users/jktai/.gemini/config/plugins/android-cli-plugin/skills/SKILL.md,使用 Android CLI 工具進行專案創建、真機/模擬器部署與環境診斷。
xcode-project-setup,Firebase與行動端開發,/Users/jktai/.gemini/config/plugins/firebase/skills/xcode_project_setup/SKILL.md,修改 iOS Xcode 專案檔（.pbxproj），自動引入 Swift Packages 並連結檔案。
antigravity-guide,Antigravity與ClaudeCode設定,/Users/jktai/.gemini/antigravity/builtin/skills/antigravity_guide/SKILL.md,Google Antigravity (AGY) 框架的使用指南，包含 CLI、SDK 與客製化自訂。
claude-code-lazy-packs,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/claude-code-lazy-packs/SKILL.md,Claude Code 懶人包全集，快速建置環境、MCP 與輔助技能。
cc-draw,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-draw/SKILL.md,Claude Code 安裝 gpt-image-2 本地生圖 skill。
cc-env-setup,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-env-setup/SKILL.md,"Claude Code 本地開發環境建置（Node.js, uv）。"
cc-firebase,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-firebase/SKILL.md,Claude Code 連接 Firebase MCP 工具環境。
cc-gemini,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-gemini/SKILL.md,Claude Code 設定 Gemini 免費 API。
cc-github,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-github/SKILL.md,Claude Code 連接 GitHub CLI 工具環境。
cc-install-all,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-install-all/SKILL.md,一次安裝所有 Claude Code 懶人包擴充。
cc-notebooklm,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-notebooklm/SKILL.md,Claude Code 連接 NotebookLM MCP。
cc-obsidian,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-obsidian/SKILL.md,Claude Code 連接 Obsidian MCPVault 筆記本。
cc-ollama,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-ollama/SKILL.md,Claude Code 安裝本地 AI Ollama。
cc-second-brain,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-second-brain/SKILL.md,Claude Code 第二大腦三層結構設定（Obsidian）。
cc-supabase,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-supabase/SKILL.md,Claude Code 連接 Supabase MCP 開發環境。
cc-workspace,Antigravity與ClaudeCode設定,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/cc-workspace/SKILL.md,Claude Code 老師建專案、初始化班級工具模式。
baoyu-translate,實用輔助工具,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/baoyu-translate/SKILL.md,精細翻譯，支援術語庫與在地化修正。
baoyu-url-to-markdown,實用輔助工具,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/baoyu-url-to-markdown/SKILL.md,利用 CDP 渲染網頁並轉為 Markdown 儲存。
baoyu-compress-image,實用輔助工具,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/baoyu-compress-image/SKILL.md,將指定圖片壓縮並轉換為 WebP 格式。
baoyu-format-markdown,實用輔助工具,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/baoyu-format-markdown/SKILL.md,Markdown 格式化、美化排版工具。
baoyu-electron-extract,實用輔助工具,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/baoyu-electron-extract/SKILL.md,解包 Electron asar 套件，還原混淆過的 JS 原始碼。
file-organizer,實用輔助工具,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/file-organizer/SKILL.md,基於內容分析自動分類整理與重命名檔案。
smart-search,實用輔助工具,/Users/jktai/.gemini/config/skills/smart-search/SKILL.md,基於 opencli 的智能搜尋路由器。
summary-master,實用輔助工具,/Users/jktai/.gemini/config/skills/summary-master/SKILL.md,網頁或 YouTube 影片深度解析與結構化總結工具。
detail-master,實用輔助工具,/Users/jktai/.gemini/config/skills/detail-master/SKILL.md,徹底分析文章或影片逐字稿，羅列出每一個主題元素。
tldr-summarizer,實用輔助工具,/Users/jktai/.gemini/config/skills/tldr-summarizer/SKILL.md,懶人包 → PDF / Canva 專用 TL;DR 總結工具。
bedtime-story,實用輔助工具,/Volumes/1T_HDD_2/Antigravity/20260625_html簡報/.agents/skills/bedtime-story/SKILL.md,為兒童講述溫馨的睡前故事與成語典故。
daily-devotion,實用輔助工具,/Users/jktai/.gemini/config/skills/daily-devotion/SKILL.md,每日靈修日記與反思寫作輔助。
japanese-travel-designer,實用輔助工具,/Users/jktai/.gemini/config/skills/japanese-travel-designer/SKILL.md,日本旅遊行程規劃與在地化設計。
last30days,實用輔助工具,/Users/jktai/.gemini/config/skills/last30days/SKILL.md,研究過去 30 天內各大社群平台對特定主題的真實討論。
manga-alchemy,實用輔助工具,/Users/jktai/.gemini/config/skills/manga-alchemy/SKILL.md,漫畫煉金術，提供漫畫分鏡與視覺設定引導。
pd-agenda-schools,實用輔助工具,/Users/jktai/.gemini/config/skills/pd-agenda-schools/SKILL.md,學校專業發展(PD)議程生成與管理。
prompt-alchemist,實用輔助工具,/Users/jktai/.gemini/config/skills/prompt-alchemist/SKILL.md,指令煉金術，將原始需求轉換為高級 Prompt 指令。
publish-to-github-io,實用輔助工具,/Users/jktai/.gemini/config/skills/publish-to-github-io/SKILL.md,自動將生成的 HTML 網頁部署至 GitHub Pages Portal 目錄。
find-skills,實用輔助工具,/Users/jktai/.gemini/config/skills/find-skills/SKILL.md,協助使用者探索並安裝新的代理人技能。
skill-scanner,實用輔助工具,/Users/jktai/.gemini/config/skills/skill-scanner/SKILL.md,安全審查工具，檢測第三方技能是否包含惡意代碼。
